,INDEX,DATA,VALORE
0,1,2011-01-01,3.9
1,2,2011-01-02,7.3
2,3,2011-01-03,6.9
3,4,2011-01-04,4.7
4,5,2011-01-05,2.4
5,6,2011-01-06,1.6
6,7,2011-01-07,3.2
7,8,2011-01-08,5.8
8,9,2011-01-09,5.2
9,10,2011-01-10,9.3
10,11,2011-01-11,8.3
11,12,2011-01-12,9.2
12,13,2011-01-13,4.9
13,14,2011-01-14,5.0
14,15,2011-01-15,9.7
15,16,2011-01-16,5.7
16,17,2011-01-17,3.8
17,18,2011-01-18,2.1
18,19,2011-01-19,6.9
19,20,2011-01-20,7.5
20,21,2011-01-21,5.9
21,22,2011-01-22,5.4
22,23,2011-01-23,5.8
23,24,2011-01-24,4.8
24,25,2011-01-25,6.7
25,26,2011-01-26,5.4
26,27,2011-01-27,7.7
27,28,2011-01-28,6.8
28,29,2011-01-29,5.8
29,30,2011-01-30,6.0
30,31,2011-01-31,8.2
31,32,2011-02-01,8.9
32,33,2011-02-02,9.5
33,34,2011-02-03,9.8
34,35,2011-02-04,9.5
35,36,2011-02-05,9.5
36,37,2011-02-06,9.9
37,38,2011-02-07,9.7
38,39,2011-02-08,3.1
39,40,2011-02-09,9.2
40,41,2011-02-10,9.9
41,42,2011-02-11,9.6
42,43,2011-02-12,9.9
43,44,2011-02-13,8.4
44,45,2011-02-14,9.6
45,46,2011-02-15,9.8
46,47,2011-02-16,9.1
47,48,2011-02-17,9.8
48,49,2011-02-18,9.9
49,50,2011-02-19,9.9
50,51,2011-02-20,9.2
51,52,2011-02-21,8.3
52,53,2011-02-22,6.3
53,54,2011-02-23,5.7
54,55,2011-02-24,7.0
55,56,2011-02-25,6.9
56,57,2011-02-26,9.3
57,58,2011-02-27,6.0
58,59,2011-02-28,8.0
59,60,2011-03-01,8.5
60,61,2011-03-02,4.9
61,62,2011-03-03,6.1
62,63,2011-03-04,9.1
63,64,2011-03-05,9.9
64,65,2011-03-06,9.8
65,66,2011-03-07,7.8
66,67,2011-03-08,6.8
67,68,2011-03-09,9.8
68,69,2011-03-10,9.8
69,70,2011-03-11,9.9
70,71,2011-03-12,9.8
71,72,2011-03-13,9.9
72,73,2011-03-14,9.9
73,74,2011-03-15,9.9
74,75,2011-03-16,12.5
75,76,2011-03-17,9.9
76,77,2011-03-18,9.8
77,78,2011-03-19,9.8
78,79,2011-03-20,9.8
79,80,2011-03-21,9.9
80,81,2011-03-22,9.9
81,82,2011-03-23,9.9
82,83,2011-03-24,9.9
83,84,2011-03-25,9.9
84,85,2011-03-26,9.8
85,86,2011-03-27,9.9
86,87,2011-03-28,12.6
87,88,2011-03-29,9.9
88,89,2011-03-30,9.8
89,90,2011-03-31,9.8
90,91,2011-04-01,9.9
91,92,2011-04-02,9.5
92,93,2011-04-03,9.8
93,94,2011-04-04,19.1
94,95,2011-04-05,19.0
95,96,2011-04-06,9.9
96,97,2011-04-07,9.9
97,98,2011-04-08,23.0
98,99,2011-04-09,32.1
99,100,2011-04-10,19.6
100,101,2011-04-11,9.8
101,102,2011-04-12,19.3
102,103,2011-04-13,9.8
103,104,2011-04-14,9.9
104,105,2011-04-15,9.9
105,106,2011-04-16,9.9
106,107,2011-04-17,9.9
107,108,2011-04-18,9.9
108,109,2011-04-19,9.7
109,110,2011-04-20,9.4
110,111,2011-04-21,9.9
111,112,2011-04-22,17.9
112,113,2011-04-23,18.5
113,114,2011-04-24,20.3
114,115,2011-04-25,9.9
115,116,2011-04-26,20.2
116,117,2011-04-27,19.6
117,118,2011-04-28,18.9
118,119,2011-04-29,18.3
119,120,2011-04-30,9.9
120,121,2011-05-01,22.1
121,122,2011-05-02,19.6
122,123,2011-05-03,20.9
123,124,2011-05-04,17.8
124,125,2011-05-05,9.5
125,126,2011-05-06,
126,127,2011-05-07,9.9
127,128,2011-05-08,24.7
128,129,2011-05-09,20.4
129,130,2011-05-10,24.5
130,131,2011-05-11,27.6
131,132,2011-05-12,24.6
132,133,2011-05-13,24.1
133,134,2011-05-14,24.1
134,135,2011-05-15,19.3
135,136,2011-05-16,9.9
136,137,2011-05-17,22.6
137,138,2011-05-18,24.0
138,139,2011-05-19,25.1
139,140,2011-05-20,24.7
140,141,2011-05-21,27.1
141,142,2011-05-22,27.4
142,143,2011-05-23,28.7
143,144,2011-05-24,29.0
144,145,2011-05-25,28.9
145,146,2011-05-26,27.9
146,147,2011-05-27,28.7
147,148,2011-05-28,20.9
148,149,2011-05-29,25.1
149,150,2011-05-30,25.0
150,151,2011-05-31,24.9
151,152,2011-06-01,25.0
152,153,2011-06-02,26.0
153,154,2011-06-03,25.4
154,155,2011-06-04,27.2
155,156,2011-06-05,24.9
156,157,2011-06-06,22.6
157,158,2011-06-07,22.5
158,159,2011-06-08,25.0
159,160,2011-06-09,23.4
160,161,2011-06-10,23.0
161,162,2011-06-11,23.8
162,163,2011-06-12,26.3
163,164,2011-06-13,24.9
164,165,2011-06-14,26.4
165,166,2011-06-15,27.9
166,167,2011-06-16,28.8
167,168,2011-06-17,30.3
168,169,2011-06-18,29.6
169,170,2011-06-19,23.8
170,171,2011-06-20,26.1
171,172,2011-06-21,26.5
172,173,2011-06-22,27.7
173,174,2011-06-23,29.7
174,175,2011-06-24,26.0
175,176,2011-06-25,25.9
176,177,2011-06-26,28.1
177,178,2011-06-27,27.8
178,179,2011-06-28,29.4
179,180,2011-06-29,30.3
180,181,2011-06-30,28.2
181,182,2011-07-01,25.7
182,183,2011-07-02,25.0
183,184,2011-07-03,27.9
184,185,2011-07-04,29.7
185,186,2011-07-05,25.2
186,187,2011-07-06,27.4
187,188,2011-07-07,29.3
188,189,2011-07-08,30.5
189,190,2011-07-09,31.0
190,191,2011-07-10,31.4
191,192,2011-07-11,32.2
192,193,2011-07-12,32.5
193,194,2011-07-13,32.1
194,195,2011-07-14,32.5
195,196,2011-07-15,31.1
196,197,2011-07-16,28.9
197,198,2011-07-17,30.9
198,199,2011-07-18,30.4
199,200,2011-07-19,27.9
200,201,2011-07-20,27.5
201,202,2011-07-21,29.1
202,203,2011-07-22,27.9
203,204,2011-07-23,25.5
204,205,2011-07-24,19.7
205,206,2011-07-25,24.6
206,207,2011-07-26,25.3
207,208,2011-07-27,25.9
208,209,2011-07-28,26.2
209,210,2011-07-29,28.8
210,211,2011-07-30,28.4
211,212,2011-07-31,26.4
212,213,2011-08-01,28.2
213,214,2011-08-02,28.4
214,215,2011-08-03,28.3
215,216,2011-08-04,30.1
216,217,2011-08-05,29.3
217,218,2011-08-06,28.5
218,219,2011-08-07,31.5
219,220,2011-08-08,32.7
220,221,2011-08-09,24.8
221,222,2011-08-10,25.4
222,223,2011-08-11,25.7
223,224,2011-08-12,26.8
224,225,2011-08-13,29.1
225,226,2011-08-14,29.2
226,227,2011-08-15,30.2
227,228,2011-08-16,29.4
228,229,2011-08-17,29.9
229,230,2011-08-18,31.5
230,231,2011-08-19,35.5
231,232,2011-08-20,32.6
232,233,2011-08-21,32.7
233,234,2011-08-22,34.9
234,235,2011-08-23,34.9
235,236,2011-08-24,32.1
236,237,2011-08-25,31.9
237,238,2011-08-26,31.1
238,239,2011-08-27,33.2
239,240,2011-08-28,27.4
240,241,2011-08-29,27.7
241,242,2011-08-30,28.4
242,243,2011-08-31,28.5
243,244,2011-09-01,30.1
244,245,2011-09-02,28.7
245,246,2011-09-03,29.1
246,247,2011-09-04,28.9
247,248,2011-09-05,27.8
248,249,2011-09-06,27.1
249,250,2011-09-07,29.4
250,251,2011-09-08,26.4
251,252,2011-09-09,27.6
252,253,2011-09-10,28.4
253,254,2011-09-11,28.7
254,255,2011-09-12,29.8
255,256,2011-09-13,30.2
256,257,2011-09-14,29.9
257,258,2011-09-15,28.7
258,259,2011-09-16,28.4
259,260,2011-09-17,29.1
260,261,2011-09-18,30.7
261,262,2011-09-19,23.0
262,263,2011-09-20,24.2
263,264,2011-09-21,27.1
264,265,2011-09-22,25.7
265,266,2011-09-23,25.0
266,267,2011-09-24,24.8
267,268,2011-09-25,25.4
268,269,2011-09-26,25.4
269,270,2011-09-27,25.6
270,271,2011-09-28,25.7
271,272,2011-09-29,24.6
272,273,2011-09-30,25.4
273,274,2011-10-01,25.5
274,275,2011-10-02,25.3
275,276,2011-10-03,25.8
276,277,2011-10-04,25.4
277,278,2011-10-05,25.6
278,279,2011-10-06,24.0
279,280,2011-10-07,9.7
280,281,2011-10-08,9.9
281,282,2011-10-09,9.8
282,283,2011-10-10,9.9
283,284,2011-10-11,9.9
284,285,2011-10-12,9.2
285,286,2011-10-13,22.3
286,287,2011-10-14,16.7
287,288,2011-10-15,9.9
288,289,2011-10-16,15.0
289,290,2011-10-17,
290,291,2011-10-18,
291,292,2011-10-19,9.9
292,293,2011-10-20,9.9
293,294,2011-10-21,9.9
294,295,2011-10-22,9.9
295,296,2011-10-23,9.8
296,297,2011-10-24,9.9
297,298,2011-10-25,16.4
298,299,2011-10-26,
299,300,2011-10-27,
300,301,2011-10-28,9.9
301,302,2011-10-29,9.7
302,303,2011-10-30,9.9
303,304,2011-10-31,9.9
304,305,2011-11-01,9.9
305,306,2011-11-02,9.9
306,307,2011-11-03,15.2
307,308,2011-11-04,16.8
308,309,2011-11-05,17.7
309,310,2011-11-06,16.5
310,311,2011-11-07,17.4
